run_key,space_name,dimensions,preprocessing,metric,min_samples,eps_percentile,eps,n_points,n_clusters,noise_count,noise_share,clustered_count,clustered_share,largest_cluster_size,largest_cluster_share_all,largest_cluster_share_clustered,smallest_cluster_size,median_cluster_size,mean_cluster_size
item_run_0669,item_pca30_standardized_l2_cosine,30,pca30_standardized_l2,cosine,31,10.0,0.530877,3250,3,1658,0.5101538461538462,1592,0.4898461538461538,1283,0.39476923076923076,0.8059045226130653,34,275.0,530.6666666666666
item_run_0485,item_pca30_l2_cosine,30,pca30_l2,cosine,5,40.0,0.193686,3250,3,1681,0.5172307692307693,1569,0.4827692307692308,909,0.2796923076923077,0.5793499043977055,12,648.0,523.0
item_run_0256,item_pca20_l2_cosine,20,pca20_l2,cosine,5,35.0,0.12988,3250,3,1826,0.5618461538461539,1424,0.43815384615384617,835,0.2569230769230769,0.586376404494382,9,580.0,474.6666666666667
item_run_0484,item_pca30_l2_cosine,30,pca30_l2,cosine,5,35.0,0.176297,3250,3,1863,0.5732307692307692,1387,0.4267692307692308,830,0.2553846153846154,0.5984138428262437,9,548.0,462.3333333333333
item_run_0788,item_standardized_l2_cosine,64,standardized_l2,cosine,5,35.0,0.250801,3250,3,1894,0.5827692307692308,1356,0.41723076923076924,818,0.2516923076923077,0.6032448377581121,10,528.0,452.0
item_run_0483,item_pca30_l2_cosine,30,pca30_l2,cosine,5,30.0,0.154298,3250,3,2081,0.6403076923076924,1169,0.3596923076923077,739,0.22738461538461538,0.632164242942686,7,423.0,389.6666666666667
item_run_0088,item_pca10_l2_cosine,10,pca10_l2,cosine,5,50.0,0.083205,3250,4,1297,0.39907692307692305,1953,0.6009230769230769,1021,0.3141538461538462,0.5227854582693292,5,463.5,488.25
item_run_0791,item_standardized_l2_cosine,64,standardized_l2,cosine,5,50.0,0.325307,3250,4,1374,0.4227692307692308,1876,0.5772307692307692,1021,0.3141538461538462,0.5442430703624733,6,424.5,469.0
item_run_0486,item_pca30_l2_cosine,30,pca30_l2,cosine,5,45.0,0.214,3250,4,1504,0.46276923076923077,1746,0.5372307692307692,976,0.30030769230769233,0.5589919816723941,5,382.5,436.5
item_run_0790,item_standardized_l2_cosine,64,standardized_l2,cosine,5,45.0,0.302721,3250,4,1544,0.47507692307692306,1706,0.5249230769230769,961,0.2956923076923077,0.563305978898007,5,370.0,426.5
item_run_0789,item_standardized_l2_cosine,64,standardized_l2,cosine,5,40.0,0.275869,3250,4,1723,0.5301538461538462,1527,0.46984615384615386,886,0.2726153846153846,0.5802226588081205,5,318.0,381.75
item_run_0009,item_l2_cosine,64,l2,cosine,5,35.0,0.247054,3250,4,1945,0.5984615384615385,1305,0.4015384615384615,1002,0.3083076923076923,0.767816091954023,4,149.5,326.25
item_run_0084,item_pca10_l2_cosine,10,pca10_l2,cosine,5,30.0,0.048874,3250,4,2030,0.6246153846153846,1220,0.37538461538461537,742,0.2283076923076923,0.6081967213114754,5,236.5,305.0
item_run_0441,item_pca20_standardized_l2_cosine,20,pca20_standardized_l2,cosine,21,10.0,0.400303,3250,4,2053,0.6316923076923077,1197,0.3683076923076923,884,0.272,0.7385129490392648,19,147.0,299.25
item_run_0255,item_pca20_l2_cosine,20,pca20_l2,cosine,5,30.0,0.112083,3250,4,2067,0.636,1183,0.364,728,0.224,0.6153846153846154,5,225.0,295.75
item_run_0008,item_l2_cosine,64,l2,cosine,5,30.0,0.21955,3250,4,2102,0.6467692307692308,1148,0.35323076923076924,919,0.2827692307692308,0.8005226480836237,4,112.5,287.0
item_run_0259,item_pca20_l2_cosine,20,pca20_l2,cosine,5,50.0,0.177149,3250,5,1321,0.4064615384615385,1929,0.5935384615384616,1030,0.3169230769230769,0.5339554173146708,4,8.0,385.8
item_run_0086,item_pca10_l2_cosine,10,pca10_l2,cosine,5,40.0,0.066127,3250,5,1642,0.5052307692307693,1608,0.4947692307692308,889,0.27353846153846156,0.552860696517413,4,9.0,321.6
item_run_0234,item_pca10_standardized_l2_cosine,10,pca10_standardized_l2,cosine,20,20.0,0.232122,3250,6,1099,0.33815384615384614,2151,0.6618461538461539,1594,0.49046153846153845,0.7410506741050674,15,31.5,358.5
item_run_0087,item_pca10_l2_cosine,10,pca10_l2,cosine,5,45.0,0.075077,3250,6,1471,0.45261538461538464,1779,0.5473846153846154,956,0.29415384615384615,0.537380550871276,5,8.5,296.5
item_run_0085,item_pca10_l2_cosine,10,pca10_l2,cosine,5,35.0,0.05768,3250,6,1818,0.5593846153846154,1432,0.44061538461538463,813,0.25015384615384617,0.5677374301675978,4,7.0,238.66666666666666
item_run_0442,item_pca20_standardized_l2_cosine,20,pca20_standardized_l2,cosine,21,15.0,0.418906,3250,8,1384,0.4258461538461538,1866,0.5741538461538461,1360,0.41846153846153844,0.7288317256162915,12,23.0,233.25
item_run_0650,item_pca30_standardized_l2_cosine,30,pca30_standardized_l2,cosine,16,10.0,0.481097,3250,8,2020,0.6215384615384615,1230,0.37846153846153846,903,0.27784615384615385,0.7341463414634146,14,18.5,153.75
item_run_0233,item_pca10_standardized_l2_cosine,10,pca10_standardized_l2,cosine,20,15.0,0.220796,3250,9,1641,0.5049230769230769,1609,0.4950769230769231,857,0.26369230769230767,0.5326289620882536,15,50.0,178.77777777777777
item_run_0215,item_pca10_standardized_l2_cosine,10,pca10_standardized_l2,cosine,11,20.0,0.192794,3250,10,1412,0.43446153846153845,1838,0.5655384615384615,1605,0.4938461538461538,0.8732317736670294,7,19.0,183.8
item_run_0423,item_pca20_standardized_l2_cosine,20,pca20_standardized_l2,cosine,11,15.0,0.36987,3250,14,1702,0.5236923076923077,1548,0.4763076923076923,1373,0.42246153846153844,0.8869509043927648,8,10.0,110.57142857142857
item_run_0214,item_pca10_standardized_l2_cosine,10,pca10_standardized_l2,cosine,11,15.0,0.181505,3250,22,1912,0.5883076923076923,1338,0.4116923076923077,672,0.20676923076923076,0.5022421524663677,8,18.0,60.81818181818182
item_run_0198,item_pca10_standardized_l2_cosine,10,pca10_standardized_l2,cosine,5,30.0,0.157121,3250,41,1330,0.40923076923076923,1920,0.5907692307692308,1136,0.3495384615384615,0.5916666666666667,2,5.0,46.829268292682926
item_run_0635,item_pca30_standardized_l2_cosine,30,pca30_standardized_l2,cosine,5,30.0,0.436338,3250,45,1148,0.35323076923076924,2102,0.6467692307692308,1868,0.5747692307692308,0.8886774500475737,2,4.0,46.71111111111111
item_run_0634,item_pca30_standardized_l2_cosine,30,pca30_standardized_l2,cosine,5,25.0,0.429035,3250,45,1450,0.4461538461538462,1800,0.5538461538461539,1572,0.4836923076923077,0.8733333333333333,2,5.0,40.0
item_run_0407,item_pca20_standardized_l2_cosine,20,pca20_standardized_l2,cosine,5,30.0,0.336855,3250,46,1171,0.36030769230769233,2079,0.6396923076923077,1802,0.5544615384615385,0.8667628667628667,2,5.0,45.19565217391305
item_run_0197,item_pca10_standardized_l2_cosine,10,pca10_standardized_l2,cosine,5,25.0,0.15198,3250,57,1586,0.488,1664,0.512,731,0.22492307692307692,0.43930288461538464,1,5.0,29.19298245614035
item_run_0406,item_pca20_standardized_l2_cosine,20,pca20_standardized_l2,cosine,5,25.0,0.330039,3250,58,1463,0.4501538461538461,1787,0.5498461538461539,1413,0.4347692307692308,0.7907106883044208,2,5.0,30.810344827586206
item_run_0633,item_pca30_standardized_l2_cosine,30,pca30_standardized_l2,cosine,5,20.0,0.420501,3250,63,1724,0.5304615384615384,1526,0.4695384615384615,1110,0.3415384615384615,0.727391874180865,2,5.0,24.22222222222222
item_run_0405,item_pca20_standardized_l2_cosine,20,pca20_standardized_l2,cosine,5,20.0,0.321323,3250,67,1775,0.5461538461538461,1475,0.45384615384615384,853,0.26246153846153847,0.5783050847457627,1,5.0,22.01492537313433
item_run_0196,item_pca10_standardized_l2_cosine,10,pca10_standardized_l2,cosine,5,20.0,0.146025,3250,67,1878,0.5778461538461539,1372,0.42215384615384616,524,0.16123076923076923,0.3819241982507289,3,6.0,20.47761194029851
