rank,k_distance
500,0.4358717644241523
501,0.4359926513857183
502,0.4361814330388848
503,0.4363344154999287
504,0.43641920879818163
505,0.436641874114304
506,0.4367152667326186
507,0.4369007344906102
508,0.43712200111365374
509,0.43739225783906
510,0.43742840471577327
511,0.43768055817946194
512,0.43772888093416484
513,0.43775280369152836
514,0.43815029985455944
515,0.43819560696526827
516,0.4382605313804365
517,0.43830905891992544
518,0.4383543766323895
519,0.43845678951703293
520,0.4385389173978127
521,0.43871357633785735
522,0.4387872876873944
523,0.4391234435528385
524,0.4391276684231371
525,0.439683411630459
526,0.43974578683256127
527,0.4398451516554345
528,0.4398722495536068
529,0.43990323815984744
530,0.44001263272595137
531,0.4400251182012953
532,0.4400596899619472
533,0.4400942165707644
534,0.4404453959930058
535,0.44045661088873045
536,0.4405567115876149
537,0.4406383407731226
538,0.44069948573733075
539,0.44073899637945657
540,0.4407396429735908
541,0.44097612954294285
542,0.44103902996317224
543,0.44106095108106724
544,0.4410640719420649
545,0.4410717159541899
546,0.4411289304097754
547,0.4414163216482757
548,0.4414612496852004
549,0.44154351399582725
550,0.4416076444852558
551,0.44186733012028645
552,0.441875039634425
553,0.44203526452449016
554,0.4421850450712248
555,0.44218562554786256
556,0.44219252285365773
557,0.4422260497414462
558,0.44224999461305703
559,0.44226985688565623
560,0.442349783701671
561,0.44244637909847395
562,0.4427750064058579
563,0.4428845779628171
564,0.4429251140344478
565,0.44302786361385604
566,0.443182500119504
567,0.4433544783075061
568,0.44341764919381765
569,0.4435095200961585
570,0.4435540425004112
571,0.4437239879226791
572,0.44394803742031275
573,0.44410950893679
574,0.4441762658447288
575,0.4442858155380086
576,0.4442957979190141
577,0.4446108990054527
578,0.44505956687628634
579,0.44547416828000497
580,0.4454859156583306
581,0.44562974550743395
582,0.4456350417373015
583,0.4457659017344795
584,0.44616825707162155
585,0.4462842064047926
586,0.44634466459204647
587,0.44637109394559393
588,0.44663501750055223
589,0.4466467269106502
590,0.44672250115282297
591,0.44701448216106354
592,0.4470708497646323
593,0.44720894713537784
594,0.4472783715142409
595,0.44739958781881417
596,0.4477589085293767
597,0.44780832257790915
598,0.4479878934887359
599,0.44803004360402676
600,0.4481969962131427
601,0.4483620936386893
602,0.4483699797450351
603,0.44843042620057516
604,0.4485713949768655
605,0.4487248978483903
606,0.4487980088587801
607,0.4488394712436812
608,0.4488861993874361
609,0.448990056005686
610,0.44922750527650246
611,0.4492722588252226
612,0.44927251527579926
613,0.4495714599326459
614,0.44967330032166897
615,0.44970451185823124
616,0.4498458108595764
617,0.4502588350080041
618,0.45109169361061274
619,0.45146403980633354
620,0.4517559550512844
621,0.4519556229614914
622,0.45200204643152775
623,0.45204989584800237
624,0.4521508702451956
625,0.4524276560210927
626,0.45248655264971005
627,0.4525526575997042
628,0.4526346797584221
629,0.45272119501149155
630,0.4529205399592007
631,0.4533288655065316
632,0.45343840193758966
633,0.45364273508189623
634,0.4536465325510287
635,0.45380418924488897
636,0.45386864482859535
637,0.4540804590970513
638,0.4541353721537531
639,0.45419685697399326
640,0.45444185915772006
641,0.4546094586709981
642,0.4546358761783691
643,0.4548554689763924
644,0.454983918338259
645,0.45514214496357575
646,0.4554048994547347
