run_key,space_name,dimensions,preprocessing,metric,min_samples,eps_percentile,eps,n_points,n_clusters,noise_count,noise_share,clustered_count,clustered_share,largest_cluster_size,largest_cluster_share_all,largest_cluster_share_clustered,smallest_cluster_size,median_cluster_size,mean_cluster_size
item_run_0082,item_pca10_l2_cosine,10,pca10_l2,cosine,5,20.0,0.033182,3250,3,2405,0.74,845,0.26,585,0.18,0.6923076923076923,7,253.0,281.6666666666667
item_run_0083,item_pca10_l2_cosine,10,pca10_l2,cosine,5,25.0,0.041253,3250,3,2235,0.6876923076923077,1015,0.3123076923076923,658,0.20246153846153847,0.6482758620689655,3,354.0,338.3333333333333
item_run_0084,item_pca10_l2_cosine,10,pca10_l2,cosine,5,30.0,0.048874,3250,4,2030,0.6246153846153846,1220,0.37538461538461537,742,0.2283076923076923,0.6081967213114754,5,236.5,305.0
item_run_0085,item_pca10_l2_cosine,10,pca10_l2,cosine,5,35.0,0.05768,3250,6,1818,0.5593846153846154,1432,0.44061538461538463,813,0.25015384615384617,0.5677374301675978,4,7.0,238.66666666666666
item_run_0086,item_pca10_l2_cosine,10,pca10_l2,cosine,5,40.0,0.066127,3250,5,1642,0.5052307692307693,1608,0.4947692307692308,889,0.27353846153846156,0.552860696517413,4,9.0,321.6
item_run_0087,item_pca10_l2_cosine,10,pca10_l2,cosine,5,45.0,0.075077,3250,6,1471,0.45261538461538464,1779,0.5473846153846154,956,0.29415384615384615,0.537380550871276,5,8.5,296.5
item_run_0088,item_pca10_l2_cosine,10,pca10_l2,cosine,5,50.0,0.083205,3250,4,1297,0.39907692307692305,1953,0.6009230769230769,1021,0.3141538461538462,0.5227854582693292,5,463.5,488.25
item_run_0089,item_pca10_l2_cosine,10,pca10_l2,cosine,5,60.0,0.103416,3250,9,919,0.2827692307692308,2331,0.7172307692307692,2291,0.7049230769230769,0.9828399828399829,2,5.0,259.0
item_run_0090,item_pca10_l2_cosine,10,pca10_l2,cosine,5,70.0,0.124935,3250,2,634,0.19507692307692306,2616,0.804923076923077,2612,0.8036923076923077,0.9984709480122325,4,1308.0,1308.0
item_run_0091,item_pca10_l2_cosine,10,pca10_l2,cosine,5,80.0,0.155785,3250,1,361,0.11107692307692307,2889,0.8889230769230769,2889,0.8889230769230769,1.0,2889,2889.0,2889.0
item_run_0092,item_pca10_l2_cosine,10,pca10_l2,cosine,5,85.0,0.172342,3250,1,231,0.07107692307692308,3019,0.928923076923077,3019,0.928923076923077,1.0,3019,3019.0,3019.0
item_run_0093,item_pca10_l2_cosine,10,pca10_l2,cosine,5,90.0,0.196982,3250,2,132,0.040615384615384616,3118,0.9593846153846154,3114,0.9581538461538461,0.9987171263630532,4,1559.0,1559.0
item_run_0094,item_pca10_l2_cosine,10,pca10_l2,cosine,5,95.0,0.234655,3250,1,51,0.015692307692307693,3199,0.9843076923076923,3199,0.9843076923076923,1.0,3199,3199.0,3199.0
item_run_0095,item_pca10_l2_cosine,10,pca10_l2,cosine,5,99.0,0.287365,3250,1,0,0.0,3250,1.0,3250,1.0,1.0,3250,3250.0,3250.0
item_run_0096,item_pca10_l2_cosine,10,pca10_l2,cosine,11,1.0,0.010587,3250,2,3127,0.9621538461538461,123,0.03784615384615385,112,0.03446153846153846,0.9105691056910569,11,61.5,61.5
