user_idx,user_id,user_cluster,score_source,precision_10,recall_10,hit_rate_10,ndcg_10
1466,1878,0,mf,0.0,0.0,0.0,0.0
1466,1878,0,rating_user_knn,0.0,0.0,0.0,0.0
1467,1879,0,mf,0.0,0.0,0.0,0.0
1467,1879,0,rating_user_knn,0.0,0.0,0.0,0.0
1468,1880,1,mf,0.4,0.0547945205479452,1.0,0.3921578479840864
1468,1880,1,rating_user_knn,0.0,0.0,0.0,0.0
1469,1881,0,mf,0.0,0.0,0.0,0.0
1469,1881,0,rating_user_knn,0.0,0.0,0.0,0.0
1470,1882,0,mf,0.0,0.0,0.0,0.0
1470,1882,0,rating_user_knn,0.0,0.0,0.0,0.0
1471,1883,-1,mf,0.1,0.047619047619047616,1.0,0.09478836436955079
1471,1883,-1,rating_user_knn,0.0,0.0,0.0,0.0
1472,1884,-1,mf,0.1,0.014285714285714285,1.0,0.1100458831490401
1472,1884,-1,rating_user_knn,0.0,0.0,0.0,0.0
1473,1885,-1,mf,0.0,0.0,0.0,0.0
1473,1885,-1,rating_user_knn,0.0,0.0,0.0,0.0
1474,1887,-1,mf,0.0,0.0,0.0,0.0
1474,1887,-1,rating_user_knn,0.0,0.0,0.0,0.0
1475,1889,-1,mf,0.0,0.0,0.0,0.0
1475,1889,-1,rating_user_knn,0.0,0.0,0.0,0.0
1476,1890,-1,mf,0.0,0.0,0.0,0.0
1476,1890,-1,rating_user_knn,0.0,0.0,0.0,0.0
1477,1891,1,mf,0.1,0.047619047619047616,1.0,0.1100458831490401
1477,1891,1,rating_user_knn,0.0,0.0,0.0,0.0
1478,1894,1,mf,0.0,0.0,0.0,0.0
1478,1894,1,rating_user_knn,0.0,0.0,0.0,0.0
1479,1895,-1,mf,0.2,0.2222222222222222,1.0,0.14490437600615516
1479,1895,-1,rating_user_knn,0.0,0.0,0.0,0.0
1480,1896,-1,mf,0.0,0.0,0.0,0.0
1480,1896,-1,rating_user_knn,0.0,0.0,0.0,0.0
1481,1897,1,mf,0.0,0.0,0.0,0.0
1481,1897,1,rating_user_knn,0.0,0.0,0.0,0.0
1482,1899,1,mf,0.1,0.02127659574468085,1.0,0.09478836436955079
1482,1899,1,rating_user_knn,0.1,0.02127659574468085,1.0,0.13886244387355456
1483,1900,-1,mf,0.0,0.0,0.0,0.0
1483,1900,-1,rating_user_knn,0.0,0.0,0.0,0.0
1484,1901,-1,mf,0.1,0.0625,1.0,0.08514311764162101
1484,1901,-1,rating_user_knn,0.0,0.0,0.0,0.0
1485,1902,1,mf,0.0,0.0,0.0,0.0
1485,1902,1,rating_user_knn,0.0,0.0,0.0,0.0
1486,1903,-1,mf,0.1,0.05555555555555555,1.0,0.07839826897867534
1486,1903,-1,rating_user_knn,0.0,0.0,0.0,0.0
1487,1904,0,mf,0.0,0.0,0.0,0.0
1487,1904,0,rating_user_knn,0.0,0.0,0.0,0.0
1488,1905,1,mf,0.0,0.0,0.0,0.0
1488,1905,1,rating_user_knn,0.0,0.0,0.0,0.0
1489,1908,0,mf,0.0,0.0,0.0,0.0
1489,1908,0,rating_user_knn,0.0,0.0,0.0,0.0
1490,1909,0,mf,0.1,0.1111111111111111,1.0,0.07834851647149513
1490,1909,0,rating_user_knn,0.0,0.0,0.0,0.0
1491,1910,0,mf,0.0,0.0,0.0,0.0
1491,1910,0,rating_user_knn,0.0,0.0,0.0,0.0
1492,1912,-1,mf,0.0,0.0,0.0,0.0
1492,1912,-1,rating_user_knn,0.0,0.0,0.0,0.0
1493,1913,1,mf,0.0,0.0,0.0,0.0
1493,1913,1,rating_user_knn,0.0,0.0,0.0,0.0
1494,1916,-1,mf,0.0,0.0,0.0,0.0
1494,1916,-1,rating_user_knn,0.1,0.043478260869565216,1.0,0.06625422345438904
1495,1917,1,mf,0.0,0.0,0.0,0.0
1495,1917,1,rating_user_knn,0.0,0.0,0.0,0.0
1496,1919,0,mf,0.1,0.2,1.0,0.10209739512291163
1496,1919,0,rating_user_knn,0.0,0.0,0.0,0.0
1497,1920,0,mf,0.2,0.0625,1.0,0.14279514403613736
1497,1920,0,rating_user_knn,0.0,0.0,0.0,0.0
1499,1922,1,mf,0.0,0.0,0.0,0.0
1499,1922,1,rating_user_knn,0.0,0.0,0.0,0.0
1500,1923,0,mf,0.0,0.0,0.0,0.0
1500,1923,0,rating_user_knn,0.0,0.0,0.0,0.0
1501,1924,0,mf,0.0,0.0,0.0,0.0
1501,1924,0,rating_user_knn,0.0,0.0,0.0,0.0
1502,1925,-1,mf,0.0,0.0,0.0,0.0
1502,1925,-1,rating_user_knn,0.0,0.0,0.0,0.0
1503,1926,-1,mf,0.0,0.0,0.0,0.0
1503,1926,-1,rating_user_knn,0.0,0.0,0.0,0.0
1504,1928,-1,mf,0.0,0.0,0.0,0.0
1504,1928,-1,rating_user_knn,0.0,0.0,0.0,0.0
1505,1930,1,mf,0.0,0.0,0.0,0.0
1505,1930,1,rating_user_knn,0.0,0.0,0.0,0.0
1506,1931,-1,mf,0.0,0.0,0.0,0.0
1506,1931,-1,rating_user_knn,0.0,0.0,0.0,0.0
1507,1932,1,mf,0.0,0.0,0.0,0.0
1507,1932,1,rating_user_knn,0.0,0.0,0.0,0.0
