group_type,score_source,aggregation,groups,mean_group_ndcg_10,mean_member_ndcg_10,mean_worst_member_satisfaction,mean_jain_fairness,mean_minority_cluster_satisfaction,mean_minority_zero_satisfaction_rate,mean_cluster_satisfaction_gap,mean_zero_satisfaction_share,mean_member_hit_share
homogeneous_cluster_0,hybrid_mf_bayes,tuned_fairness,50,0.06945783263035162,0.03563789642360924,0.0,0.15232310367525903,,,0.0,0.84,0.15999999999999998
homogeneous_cluster_0,mf,least_misery,50,0.05397346071596812,0.03289828220935773,0.0,0.10949212804254124,,,0.0,0.88,0.12
homogeneous_cluster_0,rating_user_knn,least_misery,50,0.02567505594296611,0.01310741900211524,0.0,0.09230858086227965,,,0.0,0.9066666666666667,0.09333333333333332
homogeneous_cluster_0,rating_user_knn,dbscan_minority_nash,50,0.022686499515579016,0.010710962246414117,0.0,0.09230771042599098,,,0.0,0.9066666666666667,0.09333333333333332
homogeneous_cluster_0,rating_user_knn,nash_welfare,50,0.022686499515579016,0.010710962246414117,0.0,0.09230771042599098,,,0.0,0.9066666666666667,0.09333333333333332
homogeneous_cluster_0,rating_user_knn,average,50,0.02230159996745427,0.010862131620176933,0.0,0.09230771042599098,,,0.0,0.9066666666666667,0.09333333333333332
homogeneous_cluster_0,rating_user_knn,tuned_fairness,50,0.02230159996745427,0.010862131620176933,0.0,0.09230771042599098,,,0.0,0.9066666666666667,0.09333333333333332
homogeneous_cluster_1,mf,dbscan_minority_nash,50,0.06230894407077528,0.026214773283273086,0.0,0.19644443321096586,,,0.0,0.8,0.2
homogeneous_cluster_1,mf,nash_welfare,50,0.06230894407077528,0.026214773283273086,0.0,0.19644443321096586,,,0.0,0.8,0.2
homogeneous_cluster_1,hybrid_mf_bayes,average,50,0.06117775284745568,0.025342133697189358,0.0,0.19607184622305088,,,0.0,0.8,0.2
homogeneous_cluster_1,hybrid_mf_bayes,tuned_fairness,50,0.06117775284745568,0.025342133697189358,0.0,0.19607184622305088,,,0.0,0.8,0.2
homogeneous_cluster_1,hybrid_mf_bayes,dbscan_minority_nash,50,0.06105067290816015,0.025299773717424184,0.0,0.19607184622305088,,,0.0,0.8,0.2
homogeneous_cluster_1,hybrid_mf_bayes,nash_welfare,50,0.06105067290816015,0.025299773717424184,0.0,0.19607184622305088,,,0.0,0.8,0.2
homogeneous_cluster_1,mf,average,50,0.060712300663877256,0.02566655304632572,0.0,0.18977776654429918,,,0.0,0.8066666666666668,0.19333333333333333
homogeneous_cluster_1,mf,tuned_fairness,50,0.060712300663877256,0.02566655304632572,0.0,0.18977776654429918,,,0.0,0.8066666666666668,0.19333333333333333
homogeneous_cluster_1,mf,least_misery,50,0.0532232597217242,0.02260668801297963,0.0,0.17875165323861386,,,0.0,0.82,0.18
homogeneous_cluster_1,hybrid_mf_bayes,least_misery,50,0.052947639108392536,0.021683991091103597,0.0,0.16518650195742787,,,0.0,0.8333333333333333,0.16666666666666663
homogeneous_cluster_1,rating_user_knn,average,50,0.04318967234913752,0.018154436891888736,0.0,0.11729992683137326,,,0.0,0.88,0.12
homogeneous_cluster_1,rating_user_knn,tuned_fairness,50,0.04318967234913752,0.018154436891888736,0.0,0.11729992683137326,,,0.0,0.88,0.12
homogeneous_cluster_1,rating_user_knn,dbscan_minority_nash,50,0.04126956836705706,0.017434099382607336,0.0,0.11756754603009348,,,0.0,0.88,0.12
homogeneous_cluster_1,rating_user_knn,nash_welfare,50,0.04126956836705706,0.017434099382607336,0.0,0.11756754603009348,,,0.0,0.88,0.12
homogeneous_cluster_1,rating_user_knn,least_misery,50,0.03770556457870912,0.0159627650699205,0.0,0.0927543644598558,,,0.0,0.9066666666666667,0.09333333333333332
